министерство финансов Амурской области;;;;;;;;;;;;;;;;;;;;;
(наименование органа, исполняющего бюджет);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 на 01.11.2025 г.;;;;;;;;;;;;;;;;;;;;;
Дата печати 09.04.2026 (17:31:06);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Бюджет: Консолидированный;;;;;;;;;;;;;;;;;;;;;
КЦСР: *****975**,*****6105*,*****970**;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
руб.;;;;;;;;;;;;;;;;;;;;;
Бюджет;Дата проводки;КФСР;Наименование КФСР;КЦСР;Наименование КЦСР;КВР;Наименование КВР;КВСР;Наименование КВСР;КОСГУ;Наименование КОСГУ;Код цели;Наименование Код цели;КВФО;Наименование КВФО;Источник средств;Лимиты ПБС 2025 год;Подтв. лимитов по БО 2025 год;Подтв. лимитов без БО 2025 год;Остаток лимитов 2025 год;Всего выбытий (бух.уч.)
Бюджет Бурейского муниципального округа;01.01.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;857 000,00;0,00;0,00;1 714 000,00;0,00
Бюджет Бурейского муниципального округа;09.06.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;37 206,75;0,00;-37 206,75;0,00
Бюджет Бурейского муниципального округа;10.06.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;0,00;375 797,10;-375 797,10;0,00
Бюджет Бурейского муниципального округа;18.06.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;10 100,00;0,00;-10 100,00;0,00
Бюджет Бурейского муниципального округа;19.06.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;0,00;0,00;0,00;3 800,00
Бюджет Бурейского муниципального округа;23.06.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;0,00;0,00;0,00;6 300,00
Бюджет Бурейского муниципального округа;27.06.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;7 300,00;0,00;-7 300,00;0,00
Бюджет Бурейского муниципального округа;01.07.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;0,00;0,00;0,00;1 900,00
Бюджет Бурейского муниципального округа;02.07.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;0,00;79 228,80;-79 228,80;5 400,00
Бюджет Бурейского муниципального округа;07.07.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;0,00;0,00;0,00;37 206,75
Бюджет Бурейского муниципального округа;08.07.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;0,00;-99 629,00;99 629,00;0,00
Бюджет Бурейского муниципального округа;09.07.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;92 592,33;0,00;-92 592,33;0,00
Бюджет Бурейского муниципального округа;10.07.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;34 337,76;99 629,00;-133 966,76;0,00
Бюджет Бурейского муниципального округа;14.07.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;0,00;0,00;0,00;34 337,76
Бюджет Бурейского муниципального округа;15.07.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;0,00;0,00;0,00;64 425,47
Бюджет Бурейского муниципального округа;18.07.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;94 913,00;0,00;-94 913,00;0,00
Бюджет Бурейского муниципального округа;21.07.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;102 989,00;0,00;-102 989,00;0,00
Бюджет Бурейского муниципального округа;22.07.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;3 576,49;0,00;-3 576,49;197 902,00
Бюджет Бурейского муниципального округа;23.07.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;0,00;0,00;0,00;3 576,49
Бюджет Бурейского муниципального округа;28.07.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;74 541,52;0,00;-74 541,52;0,00
Бюджет Бурейского муниципального округа;03.08.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;-5 360,35;0,00;5 360,35;0,00
