министерство финансов Амурской области;;;;;;;;;;;;;;;;;;;;;
(наименование органа, исполняющего бюджет);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 на 01.03.2025 г.;;;;;;;;;;;;;;;;;;;;;
Дата печати 09.04.2026 (17:27:07);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Бюджет: Консолидированный;;;;;;;;;;;;;;;;;;;;;
КЦСР: *****975**,*****6105*,*****970**;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
руб.;;;;;;;;;;;;;;;;;;;;;
Бюджет;Дата проводки;КФСР;Наименование КФСР;КЦСР;Наименование КЦСР;КВР;Наименование КВР;КВСР;Наименование КВСР;КОСГУ;Наименование КОСГУ;Код цели;Наименование Код цели;КВФО;Наименование КВФО;Источник средств;Лимиты ПБС 2025 год;Подтв. лимитов по БО 2025 год;Подтв. лимитов без БО 2025 год;Остаток лимитов 2025 год;Всего выбытий (бух.уч.)
Бюджет Бурейского муниципального округа;01.01.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;857 000,00;0,00;0,00;1 714 000,00;0,00
Бюджет г. Тынды;01.01.2025;04.09;Дорожное хозяйство (дорожные фонды);02.2.01.97003;Реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;2.4.3;Закупка товаров, работ и услуг в целях капитального ремонта государственного (муниципального) имущества;222;Администрация города Тынды;2.2.5;Работы, услуги по содержанию имущества;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Муниципальные средства;133 752 149,85;0,00;0,00;267 504 299,70;0,00
Бюджет г. Тынды;20.02.2025;04.09;Дорожное хозяйство (дорожные фонды);02.2.01.97003;Реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;2.4.3;Закупка товаров, работ и услуг в целях капитального ремонта государственного (муниципального) имущества;222;Администрация города Тынды;2.2.5;Работы, услуги по содержанию имущества;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Муниципальные средства;-133 752 149,85;0,00;0,00;-267 504 299,70;0,00
Бюджет г. Тынды;20.02.2025;04.09;Дорожное хозяйство (дорожные фонды);02.2.01.97003;Реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;6.1.2;Субсидии бюджетным учреждениям на иные цели;222;Администрация города Тынды;2.8.1;Безвозмездные перечисления капитального характера государственным (муниципальным) учреждениям;972310002013;Иные межбюджетные транcферты на софинансирование расходных обязательств  муниципальных образований Амурской области, возникающих при реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации (Приведение в нормативное состояние УДС города Тында и строительство 2 искусственных дорожных сооружений);1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;133 752 149,85;0,00;0,00;267 504 299,70;0,00
Областной бюджет Амурской области;01.01.2025;01.13;Другие общегосударственные вопросы;88.8.00.61050;Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам;8.0.0;Иные бюджетные ассигнования;015;Министерство финансов Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;3 015 023 766,63;0,00
Областной бюджет Амурской области;01.01.2025;01.13;Другие общегосударственные вопросы;88.8.00.61050;Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам;8.7.0;Резервные средства;015;Министерство финансов Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;3 015 023 766,63;0,00;0,00;3 015 023 766,63;0,00
Областной бюджет Амурской области;01.01.2025;04.09;Дорожное хозяйство (дорожные фонды);13.2.01.97003;Реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;5.0.0;Межбюджетные трансферты;939;Министерство транспорта и дорожного хозяйства Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;133 752 149,85;0,00
Областной бюджет Амурской области;01.01.2025;04.09;Дорожное хозяйство (дорожные фонды);13.2.01.97003;Реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;5.4.0;Иные межбюджетные трансферты;939;Министерство транспорта и дорожного хозяйства Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;133 752 149,85;0,00;0,00;133 752 149,85;0,00
Областной бюджет Амурской области;28.02.2025;04.09;Дорожное хозяйство (дорожные фонды);13.2.01.97003;Реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;5.4.0;Иные межбюджетные трансферты;939;Министерство транспорта и дорожного хозяйства Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;133 752 149,85;0,00;-133 752 149,85;0,00
Областной бюджет Амурской области;01.01.2025;05.02;Коммунальное хозяйство;05.2.01.97002;Реализация мероприятий в сфере коммунальной инфраструктуры и благоустройства территорий, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;5.0.0;Межбюджетные трансферты;911;Министерство жилищно-коммунального хозяйства Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;10 000 000,00;0,00
