"period_of_date","documentclass_id","budget_id","caption","document_id","close_date","reg_number","main_close_date","main_reg_number","amount_1year","dd_estimate_caption","dd_recipient_caption","kadmr_code","kfsr_code","kcsr_code","kvr_code","dd_purposefulgrant_code","kesr_code","kdr_code","kde_code","kdf_code","dd_grantinvestment_code"
"2025-01-01 - 2026-03-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004327927,2025-03-07 00:00:00.000,"01-39-4662",2025-03-07 00:00:00.000,"01-39-4662",10000000.00,,,"911","0502","0520197002","540",,"000","000","000","000",""
"2025-01-01 - 2026-03-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004411730,2025-06-30 00:00:00.000,"861-06/С",2025-06-30 00:00:00.000,"861-06/С",0.00,,,"939","0408","1320261051","540",,"000","000","000","000",""
"2025-01-01 - 2026-03-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004411730,2025-06-30 00:00:00.000,"861-06/С",2025-06-30 00:00:00.000,"861-06/С",176323766.63,,,"939","0408","1320261051","540",,"000","000","000","000",""
"2025-01-01 - 2026-03-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004416335,2025-06-26 00:00:00.000,"01-39-4691",2025-06-26 00:00:00.000,"01-39-4691",0.00,,,"911","0502","052016105Е","540",,"000","000","000","000",""
"2025-01-01 - 2026-03-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004416351,2025-07-02 00:00:00.000,"01-39-4696",2025-07-02 00:00:00.000,"01-39-4696",0.00,,,"911","0502","0520161056","540",,"000","000","000","000",""
"2025-01-01 - 2026-03-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004416351,2025-07-02 00:00:00.000,"01-39-4696",2025-07-02 00:00:00.000,"01-39-4696",0.00,,,"911","0502","0520161056","540",,"000","000","000","000",""
"2025-01-01 - 2026-03-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004416352,2025-07-02 00:00:00.000,"01-39-4697",2025-07-02 00:00:00.000,"01-39-4697",0.00,,,"911","0502","0520161057","540",,"000","000","000","000",""
"2025-01-01 - 2026-03-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004416352,2025-07-02 00:00:00.000,"01-39-4697",2025-07-02 00:00:00.000,"01-39-4697",0.00,,,"911","0502","0520161057","540",,"000","000","000","000",""
"2025-01-01 - 2026-03-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004416353,2025-07-02 00:00:00.000,"01-39-4698",2025-07-02 00:00:00.000,"01-39-4698",0.00,,,"911","0502","052016105Ж","540",,"000","000","000","000",""
"2025-01-01 - 2026-03-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004416353,2025-07-02 00:00:00.000,"01-39-4698",2025-07-02 00:00:00.000,"01-39-4698",0.00,,,"911","0502","052016105Ж","540",,"000","000","000","000",""
