"con_document_id","platezhka_paydate","platezhka_key","platezhka_num","platezhka_amount"
9347585,2025-05-15 00:00:00.000,"1401053980155","1158",2682663.14
9347585,2025-05-15 00:00:00.000,"1401053980156","1159",14842403.30
9347585,2025-05-15 00:00:00.000,"1401053980157","1160",5407890.69
9347585,2025-05-15 00:00:00.000,"1401053981655","1161",59059565.21
9347585,2025-05-15 00:00:00.000,"1401053981656","1162",578210.80
9347585,2025-05-15 00:00:00.000,"1401053981657","1163",9027640.03
9347585,2025-05-15 00:00:00.000,"1401053981658","1164",62903.72
9347585,2025-05-15 00:00:00.000,"1401053981659","1165",3466267.13
9347585,2025-05-15 00:00:00.000,"1401053981660","1166",22105580.90
9347585,2025-05-15 00:00:00.000,"1401053981661","1167",10330527.30
9347585,2025-05-15 00:00:00.000,"1401053981662","1168",630492.59
9347585,2025-06-19 00:00:00.000,"1401054400057","1505",7662647.60
9391224,2025-07-07 00:00:00.000,"1401054599558","10047",37206.75
9391224,2025-07-07 00:00:00.000,"1401054599561","10048",88121.25
9391224,2025-11-13 00:00:00.000,"1401000498251","68",-37206.75
9402592,2025-06-23 00:00:00.000,"1401054429842","9117",6300.00
9402592,2025-11-13 00:00:00.000,"1401000498249","66",-6300.00
9403183,2025-06-19 00:00:00.000,"1401054399501","8951",3800.00
9403183,2025-11-13 00:00:00.000,"1401000498232","59",-3800.00
9416785,2025-07-02 00:00:00.000,"1401054560897","9764",2704.00
9416785,2025-11-13 00:00:00.000,"1401000498229","56",-2704.00
9416787,2025-07-02 00:00:00.000,"1401054560770","9761",2696.00
9416787,2025-11-13 00:00:00.000,"1401000498228","55",-2696.00
9417902,2025-07-01 00:00:00.000,"1401054535072","9602",1900.00
9417902,2025-11-13 00:00:00.000,"1401000498235","62",-1900.00
9436249,2025-07-16 00:00:00.000,"1401054700797","10485",51547.09
9436250,2025-07-15 00:00:00.000,"1401054701179","10484",42167.39
9436250,2025-11-13 00:00:00.000,"1401000498230","57",-42167.39
9436254,2025-07-15 00:00:00.000,"1401054697503","10385",2459.66
9436254,2025-11-13 00:00:00.000,"1401000498247","64",-2459.66
9436265,2025-07-15 00:00:00.000,"1401054694330","10384",19798.42
9436265,2025-11-13 00:00:00.000,"1401000498236","63",-19798.42
9437517,2025-07-14 00:00:00.000,"1401054683584","10353",34337.76
9437517,2025-07-14 00:00:00.000,"1401054683585","10354",18300.00
9437517,2025-11-13 00:00:00.000,"1401000498252","69",-34337.76
9449466,2025-07-22 00:00:00.000,"1401054760050","10836",94913.00
9449466,2025-07-23 00:00:00.000,"1401054759571","10838",13211.50
9449466,2025-07-23 00:00:00.000,"1401054759572","10839",21621.80
9449466,2025-11-13 00:00:00.000,"1401000498250","67",-94913.00
9451538,2025-07-22 00:00:00.000,"1401054761199","10974",1528.15
9451538,2025-07-22 00:00:00.000,"1401054761209","10972",84635.00
9451538,2025-07-22 00:00:00.000,"1401054761294","10971",18354.00
9451538,2025-07-23 00:00:00.000,"1401054761206","10973",46997.85
9451538,2025-11-13 00:00:00.000,"1401000498233","60",-18354.00
9451538,2025-11-13 00:00:00.000,"1401000498234","61",-84635.00
9452788,2025-07-23 00:00:00.000,"1401054770817","10885",3576.49
9452788,2025-07-23 00:00:00.000,"1401054770818","10886",1223.51
9452788,2025-11-13 00:00:00.000,"1401000498253","70",-3576.49
9456867,2025-05-15 00:00:00.000,"1401053980155","1158",2682663.14
9456867,2025-05-15 00:00:00.000,"1401053980156","1159",14842403.30
9456867,2025-05-15 00:00:00.000,"1401053980157","1160",5407890.69
9456867,2025-05-15 00:00:00.000,"1401053981655","1161",59059565.21
9456867,2025-05-15 00:00:00.000,"1401053981656","1162",578210.80
9456867,2025-05-15 00:00:00.000,"1401053981657","1163",9027640.03
9456867,2025-05-15 00:00:00.000,"1401053981658","1164",62903.72
9456867,2025-05-15 00:00:00.000,"1401053981659","1165",3466267.13
9456867,2025-05-15 00:00:00.000,"1401053981660","1166",22105580.90
9456867,2025-05-15 00:00:00.000,"1401053981661","1167",10330527.30
9456867,2025-05-15 00:00:00.000,"1401053981662","1168",630492.59
9456867,2025-06-19 00:00:00.000,"1401054400057","1505",7662647.60
9456867,2025-09-19 00:00:00.000,"1401055366379","2590",16364091.89
9460801,2025-08-05 00:00:00.000,"1401054892528","11326",74541.52
9460801,2025-08-07 00:00:00.000,"1401054917839","11327",11749.40
9460801,2025-11-13 00:00:00.000,"1401000498248","65",-74541.52
9468000,2025-07-16 00:00:00.000,"1401054700797","10485",51547.09
9468000,2025-08-05 00:00:00.000,"1401054894588","11441",5360.35
9468000,2025-08-05 00:00:00.000,"1401054894589","11440",22806.51
9468000,2025-11-13 00:00:00.000,"1401000498231","58",-22806.51
9492512,2025-08-20 00:00:00.000,"1401055046179","345",44622636.12
9494993,2025-08-20 00:00:00.000,"1401055046179","345",44622636.12
9510520,2025-08-20 00:00:00.000,"1401055046179","345",44622636.12
9510520,2025-10-13 00:00:00.000,"1401055629512","492",1417897.48
9556667,2025-10-14 00:00:00.000,"1401055631420","834",292375.58
9556667,2025-10-14 00:00:00.000,"1401055631421","835",2420176.01
9556667,2025-10-14 00:00:00.000,"1401055631422","836",666641.81
9556667,2025-10-14 00:00:00.000,"1401055631623","837",50739.08
9556667,2025-10-14 00:00:00.000,"1401055631624","838",18932666.20
9556667,2025-10-14 00:00:00.000,"1401055631630","840",112688.06
9556667,2025-10-14 00:00:00.000,"1401055631631","841",1323745.76
9556667,2025-10-14 00:00:00.000,"1401055631632","842",5199636.30
9556667,2025-10-14 00:00:00.000,"1401055631729","843",82400.18
9556667,2025-10-14 00:00:00.000,"1401055631757","844",240981.17
9556667,2025-10-14 00:00:00.000,"1401055631803","845",300991.74
9556667,2025-10-14 00:00:00.000,"1401055631804","846",623577.81
9556667,2025-10-14 00:00:00.000,"1401055631805","839",59901962.23
9556667,2025-10-14 00:00:00.000,"1401055631807","847",55211.75
9556667,2025-10-14 00:00:00.000,"1401055631810","848",417989.17
