"period_of_date","documentclass_id","budget_id","caption","document_id","close_date","reg_number","main_close_date","main_reg_number","amount_1year","dd_estimate_caption","dd_recipient_caption","kadmr_code","kfsr_code","kcsr_code","kvr_code","dd_purposefulgrant_code","kesr_code","kdr_code","kde_code","kdf_code","dd_grantinvestment_code"
"2025-01-01 - 2025-03-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004342704,2025-02-28 00:00:00.000,"855-02/C",2025-02-28 00:00:00.000,"855-02/C",133752149.85,,,"939","0409","1320197003","540",,"000","000","000","000",""
"2025-01-01 - 2025-03-01",278,1401000006128,Бюджет города Благовещенска,1211004338668,2025-02-20 00:00:00.000,"1",2024-11-20 00:00:00.000,"2",100584360.32,"01500 - СУБСИДИИ АУ/БУ (объекты капитальных вложений)",управление ЖКХ города Благовещенска,"005","0412","09103S7110","464",ОБ-41,"000","004","0000","000","0000000000000000000000000"
"2025-01-01 - 2025-03-01",278,1401000006128,Бюджет города Благовещенска,1211004338668,2025-02-20 00:00:00.000,"1",2024-11-20 00:00:00.000,"2",139214131.70,"01500 - СУБСИДИИ АУ/БУ (объекты капитальных вложений)",управление ЖКХ города Благовещенска,"005","0412","09103S7110","464",ОБ-41,"000","069","0000","000","0000000000000000000000000"
"2025-01-01 - 2025-03-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004325081,2025-02-06 00:00:00.000,"29/БУ/1-2025",2024-12-03 00:00:00.000,"29/БУ",29900000.00,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0703","0320411010","464","0","000","137","000","000",""
"2025-01-01 - 2025-03-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004325549,2025-02-06 00:00:00.000,"17/БУ/2-2025",2024-12-03 00:00:00.000,"17/БУ",599322.24,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0801","0320411010","464","0","000","805","000","000",""
"2025-01-01 - 2025-03-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004338897,2025-02-19 00:00:00.000,"14/БУ/2-2025",2024-12-03 00:00:00.000,"14/БУ",1667192.00,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0703","0320497005","464","972310002005","000","804","000","000",""
"2025-01-01 - 2025-03-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004325200,2025-02-06 00:00:00.000,"31/БУ/2",2024-12-04 00:00:00.000,"31/БУ",7753908.50,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0702","0720111010","464","0","000","149","000","000",""
"2025-01-01 - 2025-03-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004325167,2025-02-05 00:00:00.000,"12/БУ/2",2024-12-03 00:00:00.000,"12/БУ",18144700.00,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0701","07202К8100","464","982410003","000","148","000","000",""
"2025-01-01 - 2025-03-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004307288,2025-02-07 00:00:00.000,"19/БУ/3",2024-12-04 00:00:00.000,"19/БУ",20000000.00,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0505","0520311010","464","0","000","142","000","000",""
"2025-01-01 - 2025-03-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004325166,2025-02-06 00:00:00.000,"10/БУ/2",2024-11-29 00:00:00.000,"10/БУ",503698000.00,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0701","0720298100","464","982410003","000","148","000","000",""
"2025-01-01 - 2025-03-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004325199,2025-02-06 00:00:00.000,"11/БУ/2",2024-12-03 00:00:00.000,"11/БУ",11742749.59,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0701","07202К8100","464","0","000","148","000","000",""
"2025-01-01 - 2025-03-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004327015,2025-02-13 00:00:00.000,"8/БУ-2025",2025-02-13 00:00:00.000,"8/БУ-2025",11573195.88,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0701","121Я150540","464","0","000","168","000","000",""
"2025-01-01 - 2025-03-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004327017,2025-02-13 00:00:00.000,"6/БУ-2025",2025-02-13 00:00:00.000,"6/БУ-2025",39948979.82,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0702","121Ю450490","464","0","000","169","000","000",""
"2025-01-01 - 2025-03-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004327169,2025-02-13 00:00:00.000,"9/БУ-2025",2025-02-13 00:00:00.000,"9/БУ-2025",42860000.00,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0709","1220111010","464","0","000","129","000","000",""
"2025-01-01 - 2025-03-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004328821,2025-02-13 00:00:00.000,"7/БУ/1",2024-12-03 00:00:00.000,"7/БУ",6337787.29,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0902","0620211010","464","0","000","113","000","000",""
"2025-01-01 - 2025-03-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004327886,2025-02-13 00:00:00.000,"5/БУ/1",2024-12-03 00:00:00.000,"5/БУ",6680472.61,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0902","0620211010","464","0","000","112","000","000",""
"2025-01-01 - 2025-03-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004323462,2025-02-06 00:00:00.000,"3/БУ/2025",2025-02-06 00:00:00.000,"3/БУ/2025",4981558.26,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","1103","0920111010","464","0","000","013","000","000",""
