"con_document_id","kfsr_code","kcsr_code","kvr_code","kesr_code","kvsr_code","kdf_code","kde_code","kdr_code","kif_code","purposefulgrant"
9598856,"0502","101016105Б","414","000","007","000","000","000","1",ОБ-136-4
9618672,"0502","101016105Б","414","000","007","000","000","000","1",ОБ-136-4
9635122,"0408","0210261051","244","000","008","000","000","000","1",ОБ-138
9678688,"0408","0210204263","244","000","008","000","000","000","1","0"
9678688,"0408","0210261051","244","000","008","000","000","000","1",ОБ-138
9820728,"0502","101016105Б","414","000","007","000","000","000","1",ОБ-136-4
9835426,"0502","0320161055","414","000","002","000","0000","009","1",ОБ-136-2
9836854,"0409","0220197003","243","226",,,,,"5",
9836941,"0409","021И89Д11Н","414","000","002","000","0000","097","1",ОБ-51
9836941,"0409","0220197504","414","000","002","000","0000","097","1","9725100011070207"
9836941,"0409","0220197504","414","000","002","000","0000","097","1",ОБЛ-100%
9836941,"0502","03201S7423","414","000","002","000","0000","094","1",ОБ-34
9836985,"0409","132019Д120","414","000","939","000","000","817","1","0"
9836985,"0409","1320261052","414","000","939","000","000","817","1","0"
9925040,"0502","031036105Е","414","000","015","000","000","000","1",ОБ-136-9
9925040,"0502","03103А105Е","414","000","015","000","000","000","1","0"
9925040,"0502","03103S0660","414","000","015","000","000","000","1",ОБ-37
9934051,"0502","0320197503","414","000","002","000","0000","108","1",ОБЛ-100%
9944597,"0409","0220197003","243","225",,,,,"5",
9945410,"0502","0320161055","414","000","002","000","0000","009","1",ОБ-136-2
9952315,"0502","0320197503","414","000","002","000","0000","108","1",ОБЛ-100%
9961833,"0502","0320161055","414","000","002","000","0000","009","1",ОБ-136-2
9963851,"0409","021И89Д11Н","414","000","002","000","0000","097","1",ОБ-51
9963851,"0409","0220197504","414","000","002","000","0000","097","1","9725100011070207"
9977350,"0502","0320161055","414","000","002","000","0000","009","1",ОБ-136-2
9985643,"0408","0210204263","244","000","008","000","000","000","1","0"
9985643,"0408","0210261051","244","000","008","000","000","000","1",ОБ-138
9990394,"0409","0220197504","414","000","002","000","0000","097","1","9725100011070207"
9994244,"0502","0320197503","414","000","002","000","0000","108","1","9725100011040204"
9994563,"0502","0320197503","414","000","002","000","0000","108","1","9725100011040204"
10000435,"0502","0320197503","414","000","002","000","0000","108","1",ОБЛ-100%
